Family,Genus,CommonName,Species,Species (ITIS),TrophicGuild,Refs,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,Region,Country,Data_type,Study_duration_months,N_groups,Mean_individuals,Comments,
Cercopithecidae,Cercopithecus,Blue_Monkey,Cercopithecus_mitis,Cercopithecus_mitis,Frugivore,558,91.1,3,2.1,NI,NI,NI,NI,3.8,Ngoye Forest Reserve,South Africa,Feeding records (%),12,1,NI,NI,
Cercopithecidae,Cercopithecus,Mona_Monkey,Cercopithecus_mona,Cercopithecus_mona,Frugivore,560,41.7,13.6,11.7,22,9.9,NI,NI,1.1,Lama Forest,Bénin,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,Cercopithecus_neglectus,Cercopithecus_neglectus,Frugivore,561,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,Cercopithecus_nictitans,Cercopithecus_nictitans,Frugivore,246,70,45,NI,NI,10,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Spot_nosed_Monkey,Cercopithecus_petaurista,Cercopithecus_petaurista,Folivore_frugivore,564,34,40,6,NI,12,NI,NI,8,Taï Forest,Côte d’Ivoire,Feeding records (%),14,2,NI,NI,
Cercopithecidae,Cercopithecus,Crowned_Monkey,Cercopithecus_pogonias,Cercopithecus_pogonias,Frugivore,561,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Roloway_Monkey,Cercopithecus_roloway,Cercopithecus_roloway,Omnivore,567,20.9,6.5,5.7,33.1,33.8,NI,NI,NI,NI,NI,NI,NI,NI,NI,Proportion of diet is related to an analysis of food acquired in trees only,
Cercopithecidae,Cercopithecus,Sclater_s_Monkey,Cercopithecus_sclateri,Cercopithecus_sclateri,Frugivore,519,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"No doubt mainly fruits, along with leaves and animal prey. In villages they are considered sacred,  they eat agricultural crops and steal food from houses.",
Cercopithecidae,Cercopithecus,Wolf_s_Monkey,Cercopithecus_wolfi,Cercopithecus_wolfi,Folivore_frugivore,569,4.2,29.5,11.41,27.33,NI,NI,NI,27.4,Zaire,Zaire,Feeding records (%),12,NI,NI,27.4% arils,
Cheirogaleidae,Cheirogaleus,Montagne_d_Ambre_Dwarf_Lemur,Cheirogaleus_andysabini,Cheirogaleus_andysabini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cheirogaleidae,Cheirogaleus,Crossley_s_Dwarf_Lemur,Cheirogaleus_crossleyi,Cheirogaleus_crossleyi,Omnivore,164,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cheirogaleidae,Cheirogaleus,Lavasoa_Dwarf_lemur,Cheirogaleus_lavasoensis,Cheirogaleus_lavasoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cheirogaleidae,Cheirogaleus,Greater_Dwarf_Lemur,Cheirogaleus_major,Cheirogaleus_major,Folivore_frugivore,1157,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly on fruits and flowers, young vine leaves and buds, with insect prey constituting only a minor part of its diet. Flower nectar seems to be a particularly important food item just after individuals emerge from estivation.",
Cheirogaleidae,Cheirogaleus,Fat_tailed_Dwarf_Lemur,Cheirogaleus_medius,Cheirogaleus_medius,Folivore_frugivore,1157,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Fruits, flowers, seeds and the tender part of plants are dietary staples, with invertebrates being eaten in small amounts and semall vertebrates taken on ocasión",
Cheirogaleidae,Cheirogaleus,Lesser_Iron_gray_Dwarf_Lemur,Cheirogaleus_minusculus,Cheirogaleus_minusculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cheirogaleidae,Cheirogaleus, Sheth's_Dwarf_Lemur,NA,Cheirogaleus_shethi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cheirogaleidae,Cheirogaleus,Sibree_s_Dwarf_Lemur,Cheirogaleus_sibreei,Cheirogaleus_sibreei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cheirogaleidae,Cheirogaleus,Thomas_s_Dwarf_Lemur,Cheirogaleus_thomasi,Cheirogaleus_thomasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Cheracebus,Yellow_handed_Titi,Cheracebus_lucifer,Cheracebus_lucifer,Frugivore,577,74.1,8,0.6,NI,15.8,NI,NI,1.5,NI,NI,NI,NI,NI,NI,NI,
Pitheciidae,Cheracebus,White_chested_Titi,Cheracebus_lugens,Cheracebus_lugens,Frugivore,46,59.4,6.4,3.9,26.9,3.4,NI,NI,NI,Estacion Biologica Caparu,Colombia,Feeding time (%),6,1,NI,"59.4% fruits, 26.9% immature seeds, 6.4% leaves, 3.9% flowers, and 3.4% insects and spiders.",
Pitheciidae,Cheracebus,Medem_s_Titi,Cheracebus_medemi,Cheracebus_medemi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Cheracebus,Rio_Purus_Titi,Cheracebus_purinus,Cheracebus_purinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Cheracebus,Rio_Juruá_Collared_Titi,Cheracebus_regulus,Cheracebus_regulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Cheracebus,White_collared_Titi,Cheracebus_torquatus,Cheracebus_torquatus,Frugivore,167,65,15,NI,NI,16,NI,NI,4,Nanay River,Peru,Feeding time (%),3,1,3,NI,
Pitheciidae,Chiropotes,White_nosed_Bearded_Saki,Chiropotes_albinasus,Chiropotes_albinasus,Frugivore,582,53.9,NI,3,35.9,NI,NI,NI,7.2,NI,NI,NI,NI,NI,NI,NI,
Pitheciidae,Chiropotes,Rio_Negro_Beared_Saki,Chiropotes_chiropotes,Chiropotes_chiropotes,Frugivore,582,54,7,NI,36,NI,NI,NI,3,NI,NI,NI,NI,NI,NI,NI,
Pitheciidae,Chiropotes, Brown-backed_Bearded_Saki,NA,Chiropotes_israelita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Chiropotes,Guianan_Beared_Saki,Chiropotes_sagulatus,Chiropotes_sagulatus,Frugivore,591,sep-28,0-11,01-nov,63-86,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,
Pitheciidae,Chiropotes,Black_Bearded_Saki,Chiropotes_satanas,Chiropotes_satanas,Frugivore,919,91.25,2.5,6.25,NI,NI,NI,NI,NI,Raleighvallen-Voltzberg Nature Reserve,Surinam,Feeding time (%),12,NI,NI,They did not consider animal prey,
Pitheciidae,Chiropotes,Uta_Hick_s_Bearded_Saki,Chiropotes_utahickae,Chiropotes_utahickae,Frugivore,589,5.4,0.1,18.9,75.6,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Chlorocebus,Grivet_Monkey,Chlorocebus_aethiops,Chlorocebus_aethiops,Omnivore,593,50.6,18.7,17.6,NI,7.4,NI,NI,5.7,Bole Valley,Ethiopia,Feeding records (%),6,NI,NI,NI,
Cercopithecidae,Chlorocebus,Malbrouck_Monkey,Chlorocebus_cynosuros,Chlorocebus_cynosuros,Omnivore,594,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Feeds on fruit, seeds, flowers, gum and bird eggs. Invertebrates and some small vertebrates are also included the diet but detailed dietary data are not available",
Cercopithecidae,Chlorocebus,Bale_Monkey,Chlorocebus_djamdjamensis,Chlorocebus_djamdjamensis,Folivore,596,9.6,81.3,3.1,NI,2.3,NI,NI,3.7,Odobullu Forest,Ethiopia,Feeding time (%),10,2,51.5,NI,
Cercopithecidae,Chlorocebus,Vervet_Monkey,Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Omnivore,599,NI,NI,NI,NI,NI,NI,NI,NI,Samara Private Game Reserve,South Africa,,10,2,NI,NI,
Cercopithecidae,Chlorocebus,Green_Monkey,Chlorocebus_sabaeus,Chlorocebus_sabaeus,Omnivore,602,26.6,37,2.7,NI,13.2,11.2,NI,9.3,Senegal,Senegal,NI,NI,NI,NI,NI,
Cercopithecidae,Chlorocebus,Tantalus_Monkey,Chlorocebus_tantalus,Chlorocebus_tantalus,Omnivore,604,49.2,20.5,5.3,NI,25,NI,NI,NI,Ngel Nyaki Forest Reserve,Nigeria,Feeding time (%),11,1,40,NI,
Cercopithecidae,Colobus,Angolan_Colobus,Colobus_angolensis,Colobus_angolensis,Folivore,606,17,65,5,NI,NI,NI,NI,13,Nyungwe Forest ,Rwanda,Feeding records (%),NI,NI,NI,NI,
Cercopithecidae,Colobus,Guereza,Colobus_guereza,Colobus_guereza,Folivore_frugivore,608,2.6,57.2,2.9,22,NI,NI,NI,15.3,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Colobus,King_Colobus,Colobus_polykomos,Colobus_polykomos,Folivore,612,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly young leaves, mature leaves and unripe seeds, supplemented with shoots, fruits (mainly unripe), flowers and termite clay",
Cercopithecidae,Colobus,Black_Colobus,Colobus_satanas,Colobus_satanas,Frugivore,309,4,26,5,60,NI,NI,NI,5,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Colobus,White_thighed_Colobus,Colobus_vellerosus,Colobus_vellerosus,Folivore,615,10.7,79,6,NI,NI,NI,NI,4.3,Boabeng-Fiema Monkey Sanctuary,Ghana,Feeding time (%),11,2,20,NI,
Daubentoniidae,Daubentonia,Aye_aye,Daubentonia_madagascariensis,Daubentonia_madagascariensis,Insectivore,618,0,NI,NI,dic-85,may-42,abr-54,ene-20,NI,Nosy Mangabe Special Reserve ,Madagascar,,24,NI,6,NI,
Cercopithecidae,Erythrocebus,Patas_Monkey,Erythrocebus_patas,Erythrocebus_patas,Omnivore,621,NI,2.2,9.42,3.87,2.66,30.67,NI,51.18,Laikipia,Kenya,Feeding records (%),17,1,28-47,36.42 swollen thorns,
Cercopithecidae,Erythrocebus,Heuglin's_Patas_Monkey,NA,Erythrocebus_poliophaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lemuridae,Eulemur,White_fronted_Brown_Lemur,Eulemur_albifrons,Eulemur_albifrons,Frugivore,51,68.89,5.89,13.06,NI,NI,NI,NI,12.16,Masoala Peninsula,Madagascar,Feeding time (%),15,1,18-31,NI,
Lemuridae,Eulemur,White_collared_Brown_Lemur,Eulemur_cinereiceps,Eulemur_cinereiceps,Frugivore,624,66.2,12.6,16.8,NI,NI,NI,NI,4.4,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Red_collared_Brown_Lemur,Eulemur_collaris,Eulemur_collaris,Frugivore,626,78.5,4.4,14,NI,2.6,NI,NI,0.5,Sainte Luce ,Madagascar,,14,2,7,NI,
Lemuridae,Eulemur,Crowned_Lemur,Eulemur_coronatus,Eulemur_coronatus,Frugivore,628,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Blue_eyed_Black_Lemur,Eulemur_flavifrons,Eulemur_flavifrons,Folivore_frugivore,631,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Brown_Lemur,Eulemur_fulvus,Eulemur_fulvus,Folivore_frugivore,57,6.76-42.43,52.8-89.16,3.77-4.82,NI,NI,NI,NI,0.29-0.56,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Black_Lemur,Eulemur_macaco,Eulemur_macaco,Frugivore,168,78,NI,NI,NI,NI,NI,NI,NI, Naturelle Integrale de Lokobe ,Madagascar,Feeding time (%),12,1,06-ago,NI,
Lemuridae,Eulemur,Mongoose_Lemur,Eulemur_mongoz,Eulemur_mongoz,Folivore_frugivore,638,59,37,2,NI,NI,NI,1,2,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Red_bellied_Lemur,Eulemur_rubriventer,Eulemur_rubriventer,Folivore_frugivore,1176,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Consists principally of fruits, flowers, nectar, seeds and leaves. Also invertebrates",
Lemuridae,Eulemur,Red_bellied_Lemur,Eulemur_rubriventer,Eulemur_rubriventer,Frugivore,639,88,10.65,NI,NI,NI,NI,NI,1.35,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Red_bellied_Lemur,Eulemur_rubriventer,Eulemur_rubriventer,Frugivore,170,80.6,13.6,3.1,NI,NI,NI,NI,2.7,Ranomafana National Park ,Madagascar,Feeding time (%),12,2,3,"All feeding bouts (>15 sec) initiated by the focal animal were recorded during an all-day follow. The duration of each feeding bout and
the type of food consumed were recorded. Feeding bout duration was determined by recording the time (hour, minute, and seconds) the focal
animal began feeding (placing food in the mouth) and stopped feeding in
a food source. A bout was considered to have ended if the focal animal
paused from feeding for >15 sec. The times spent feeding and foraging
were combined into total feeding time because the focal animal often was
obscured by foliage or scanning the tree for the next fruit while he or she
ate. The total number of feeding bouts per day and the total amount of
time the focal animal devoted to feeding each day also could be derived
from these data because feeding data were collected on an all-occurrence
basis. ",
Lemuridae,Eulemur,Red_bellied_Lemur,Eulemur_rubriventer,Eulemur_rubriventer,Frugivore,170,1972,325,57,NI,NI,NI,NI,28,Ranomafana National Park ,Madagascar,Feeding records,12,2,3,"All feeding bouts (>15 sec) initiated by the focal animal were recorded during an all-day follow. The duration of each feeding bout and
the type of food consumed were recorded. Feeding bout duration was determined by recording the time (hour, minute, and seconds) the focal
animal began feeding (placing food in the mouth) and stopped feeding in
a food source. A bout was considered to have ended if the focal animal
paused from feeding for >15 sec. The times spent feeding and foraging
were combined into total feeding time because the focal animal often was
obscured by foliage or scanning the tree for the next fruit while he or she
ate. The total number of feeding bouts per day and the total amount of
time the focal animal devoted to feeding each day also could be derived
from these data because feeding data were collected on an all-occurrence
basis. ",
Lemuridae,Eulemur,Red_fronted_Brown_Lemur,Eulemur_rufifrons,Eulemur_rufifrons,Folivore_frugivore,170,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Eulemur,Rufous_Brown_Lemur,Eulemur_rufus,Eulemur_rufus,Frugivore,170,66.8,23.4,4,NI,NI,NI,NI,6.8,Ranomafana National Park ,Madagascar,Feeding time (%),12,1,8,"All feeding bouts (>15 sec) initiated by the focal animal were recorded during an all-day follow. The duration of each feeding bout and
the type of food consumed were recorded. Feeding bout duration was determined by recording the time (hour, minute, and seconds) the focal
animal began feeding (placing food in the mouth) and stopped feeding in
a food source. A bout was considered to have ended if the focal animal
paused from feeding for >15 sec. The times spent feeding and foraging
were combined into total feeding time because the focal animal often was
obscured by foliage or scanning the tree for the next fruit while he or she
ate. The total number of feeding bouts per day and the total amount of
time the focal animal devoted to feeding each day also could be derived
from these data because feeding data were collected on an all-occurrence
basis. ",
Lemuridae,Eulemur,Rufous_Brown_Lemur,Eulemur_rufus,Eulemur_rufus,Frugivore,170,1805,639,112,NI,NI,NI,NI,125,Ranomafana National Park ,Madagascar,Feeding records,12,1,8,"All feeding bouts (>15 sec) initiated by the focal animal were recorded during an all-day follow. The duration of each feeding bout and
the type of food consumed were recorded. Feeding bout duration was determined by recording the time (hour, minute, and seconds) the focal
animal began feeding (placing food in the mouth) and stopped feeding in
a food source. A bout was considered to have ended if the focal animal
paused from feeding for >15 sec. The times spent feeding and foraging
were combined into total feeding time because the focal animal often was
obscured by foliage or scanning the tree for the next fruit while he or she
ate. The total number of feeding bouts per day and the total amount of
time the focal animal devoted to feeding each day also could be derived
from these data because feeding data were collected on an all-occurrence
basis. ",
Lemuridae,Eulemur,Sanford_s_Brown_Lemur,Eulemur_sanfordi,Eulemur_sanfordi,Frugivore,628,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Euoticus,Southern_Needle_clawed_Galago,Euoticus_elegantulus,Euoticus_elegantulus,Gummivore,422,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Main diet gums, some insects and fruit occasionally",
Galagidae,Euoticus,Northern_Needle_clawed_Galago,Euoticus_pallidus,Euoticus_pallidus,Gummivore,1165,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Is a specialized gummivore, feeding primarily on gums but also saps and resins, supplemented with fuirt, young leaves, insects and an occasional bird",
Galagidae,Galago,Somali_Lesser_Galago,Galago_gallarum,Galago_gallarum,Omnivore,644,NI,NI,NI,NI,NI,NI,NI,NI,Meru National Park and Kora National Reserve,Kenya,NI,4,NI,NI,NI,
Galagidae,Galago,Spectacled_Lesser_Galago,Galago_matschiei,Galago_matschiei,Omnivore,1170,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Probably a faunivore-frugivore, eating fruit and animal prey and also gums",
Galagidae,Galago,Southern_Lesser_Galago,Galago_moholi,Galago_moholi,Omnivore,646,NI,NI,NI,NI,NI,NI,NI,NI,Madagascar,Madagascar,NI,18,NI,NI,NI,
Galagidae,Galago,Northern_Lesser_Galago,Galago_senegalensis,Galago_senegalensis,Omnivore,650,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Kenya_Coast_Dwarf_Galago,Galagoides_cocos,NA,Omnivore,652,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Demidoff_s_Dwarf_Galago,Galagoides_demidovii,Galagoides_demidovii,Omnivore,422,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Mozambique_Dwarf_Galago,Galagoides_granti,NA,Omnivore,655,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Mountain_Dwarf_Galago,Galagoides_orinus,NA,Omnivore,656,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Rondo_Dwarf_Galago,Galagoides_rondoensis,NA,Omnivore,655,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Angolan_Dwarf_Galago,NA,Galagoides_kumbirensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Galagidae,Galagoides,Thomas_s_Dwarf_Galago,Galagoides_thomasi,Galagoides_thomasi,Omnivore,655,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Thomas_s_Dwarf_Galago,Galagoides_thomasi,Galagoides_thomasi,Omnivore,155,4,NI,NI,NI,78,18,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,Galagoides_zanzibaricus,NA,Omnivore,1177,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Seems to be a faunivore-frugivore with a preference for animal prey (including insects such as beetles and ants, and birds), supplemented with fruit. It does not eat gum.",
Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,Galagoides_zanzibaricus,NA,Omnivore,652,8,NI,NI,NI,43,NI,NI,41,Gedi Ruins National Monument ,Kenia,Fecal samples (%),12,NI,NI,44 fruits and insects together,
Galagidae,Galagoides,Tanzania_Coast_Dwarf_Galago,Galagoides_zanzibaricus,NA,Omnivore,652,5,NI,NI,NI,52,NI,NI,44,Diani ,Kenia,Fecal samples (%),12,NI,NI,52 fruits and insects together,
Hominidae,Gorilla,Eastern_Gorilla,Gorilla_beringei,Gorilla_beringei,Folivore_frugivore,659,5.7,17.9,0.71,NI,NI,NI,NI,75.69,NI,NI,NI,NI,NI,NI,41.2% bark,
Hominidae,Gorilla,Western_Gorilla,Gorilla_gorilla,Gorilla_gorilla,Folivore_frugivore,662,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Hapalemur,Lac_Alaotra_Bamboo_Lemur,Hapalemur_alaotrensis,Hapalemur_alaotrensis,Folivore,665,NI,48.3,2.4,2.1,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Lemuridae,Hapalemur,Golden_Bamboo_Lemur,Hapalemur_aureus,Hapalemur_aureus,Folivore,668,4,91,NI,NI,NI,NI,NI,5,Ranomafana National Park,Madagascar,Feeding records (%),12,2,,"s. The diet of Hapalemur aureus is predominantly giant bamboo (78%). Hapalemur aureus also fed on other bamboo and grass species (10%), nonbamboo foliage (3%), fruit (4%), and other (5%)",
Lemuridae,Hapalemur,Gray_Bamboo_Lemur,Hapalemur_griseus,Hapalemur_griseus,Folivore,668,5,92,NI,NI,NI,NI,NI,3,Ranomafana National Park,Madagascar,Feeding records (%),12,2,,"The primary food of Hapalemur griseus is the giant bamboo, Cathariostachys madagascariensis (72%), supplemented by other bamboo and grass species (16%), nonbamboo foliage (4%), fruit (5%), and other (3%)",
Lemuridae,Hapalemur,Southern_Bamboo_Lemur,Hapalemur_meridionalis,Hapalemur_meridionalis,Folivore,671,18.58,43.03,12.78,NI,NI,NI,NI,25.61,Mandena,Madagascar,Feeding records (%),12,3,,Mainly plant consumers. 72 species consumed from 37 different botanical families,
Lemuridae,Hapalemur,Northern_Bamboo_Lemur,Hapalemur_occidentalis,Hapalemur_occidentalis,Folivore_frugivore,673,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hoolock,Western_Hoolock_Gibbon,Hoolock_hoolock,Hoolock_hoolock,Frugivore,674,62,27,4,2,NI,NI,NI,5,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,Hoolock_leuconedys,Hoolock_leuconedys,Frugivore,171,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,Hoolock_leuconedys,Hoolock_leuconedys,Folivore_frugivore,172,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hoolock,Eastern_Hoolock_Gibbon,Hoolock_leuconedys,Hoolock_leuconedys,Frugivore,173,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hoolock,Skywalker_Hoolock_Gibbon,NA,Hoolock_tianxing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hylobatidae,Hylobates,Abbott_s_Gray_Gibbon,Hylobates_abbotti,Hylobates_abbotti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hylobatidae,Hylobates,Agile_Gibbon,Hylobates_agilis,Hylobates_agilis,Frugivore,677,53,24,16,3,NI,NI,NI,4,Kalimantan,Indonesia,Feeding records (%),18,1,23,NI,
Hylobatidae,Hylobates,Bornean_White_bearded_Gibbon,Hylobates_albibarbis,Hylobates_albibarbis,Frugivore,679,69,25,5,NI,1,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hylobates,East_Bornean_Gray_Gibbon,Hylobates_funereus,Hylobates_funereus,Frugivore,681,57.5,23.8,12.1,4.5,0.8,NI,1.3,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hylobates,Kloss_s_Gibbon,Hylobates_klossii,Hylobates_klossii,Frugivore,683,72,2,NI,NI,25,NI,NI,1,Siberut Island ,Indonesia,Feeding time (%),24,1,NI,NI,
Hylobatidae,Hylobates,Lar_Gibbon,Hylobates_lar,Hylobates_lar,Frugivore,687,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hylobates,Moloch_Gibbon,Hylobates_moloch,Hylobates_moloch,Frugivore,691,61,38,1,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hylobates,Müller_s_Gibbon,Hylobates_muelleri,Hylobates_muelleri,Frugivore,692,62,32,7,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Hylobatidae,Hylobates,Pileated_Gibbon,Hylobates_pileatus,Hylobates_pileatus,Frugivore,693,71,13,NI,NI,15,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Indriidae,Indri,Indri,Indri_indri,Indri_indri,Folivore,695,25,50-75,NI,10,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Lagothrix,Gray_Woolly_Monkey,Lagothrix_cana,NA,Frugivore,699,91.5,7.6,0.9,NI,NI,NI,NI,NI,Fazenda Mariana,Brazil,Feeding records (%),5,NI,NI,NI,
Atelidae,Lagothrix,Peruvian_Yellow_tailed_Woolly_Monkey,Lagothrix_flavicauda,Lagothrix_flavicauda,Frugivore,696,NI,NI,NI,NI,NI,NI,NI,NI,Protected Forest of Alto Mayo,Peru,Feeding records (%),3,1,17-20,NI,
Atelidae,Lagothrix,Humboldt_s_Woolly_Monkey,Lagothrix_lagothricha,Lagothrix_lagothricha,Frugivore,701,78.9,11.4,0.1,4.3,4.9,NI,NI,0.4,Apaporis River region,Colombia,Feeding records (%),33,1,23-24,NI,
Atelidae,Lagotrix,Colombian_Woolly_Monkey,Lagotrix_lugens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Atelidae,Lagothrix,Poeppig_s_Woolly_Monkey,Lagothrix_poeppigii,NA,Frugivore,708,77,7.44,3.51,0.54,9.3,1.5,NI,0.71,Yasuní National Park,Ecuador,Feeding records (%),12,2,NI,NI,
Lemuridae,Lemur,Ring_tailed_Lemur,Lemur_catta,Lemur_catta,Folivore_frugivore,711,34-59,30-58,06-ago,NI,NI,0-5,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Callitrichidae,Leontocebus,Cruz_Lima’s_Saddle_back_Tamarin,Leontocebus_cruzlimai,Leontocebus_cruzlimai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Leontocebus_fuscicollis,Leontocebus_fuscicollis,Omnivore,714,35.1,NI,NI,NI,47.7,8,5,3.9,Rio Blanco Field Site,Peru,Feeding & foraging time,7,1,NI,NI,
Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Leontocebus_fuscicollis,Leontocebus_fuscicollis,Omnivore,469,49,NI,NI,NI,26,12,7,6,San Sebastian,Bolivia,Feeding records (%),12,3,NI,29% fungus,One group each species
Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Leontocebus_fuscicollis,Leontocebus_fuscicollis,Frugivore,196,74,NI,NI,NI,20,6,NI,NI,Madre de Dios,Peru,Feeding records (%),5,NI,NI,NI,
