"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	finmarchicus	Invert	H			55.47		7.54		0.7			8.58289124668435		204.73		23.86	0.000411															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	finmarchicus	Invert	H			55.56		7.57		0.7			8.56274768824307		205.03		23.93	0.000423															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	finmarchicus	Invert	H			55.63		7.59		0.7			8.55094422485727		205.31		24	0.000435															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			44.77		11.34		0.7			4.6059670781893		165.21		35.86	0.000344															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			44.81		11.2		0.7			4.66770833333333		165.37		35.44	0.000366															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			44.81		11.14		0.7			4.69284859365649		165.37		35.24	0.000395															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			44.84		11.27		0.7			4.64182194616977		165.47		35.64	0.000426															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			44.88		11.16		0.7			4.69175627240143		165.64		35.31	0.00043															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			45.37		11.23		0.7			4.71341644404868		167.45		35.53	0.000454															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			44.71		11.23		0.7			4.6448501038884		165.01		35.53	0.000454															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			50.34		9.76		0.7			6.01741803278689		185.77		30.89	0.000594															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			50.25		9.68		0.7			6.05630165289256		185.45		30.63	0.000599															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	glacialis	Invert	H			50.3		9.64		0.7			6.08748271092669		185.62		30.51	0.000674															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			54.62		7.4		0.7			8.61126126126126		201.58		23.39	0.00119															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.33		7.58		0.7			8.97779243623571		215.28		23.96	0.00132															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.21		7.46		0.7			9.10344057193923		214.82		23.61	0.00134															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			54.82		7.23		0.7			8.84601198709083		202.31		22.87	0.00166															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.58		7.1		0.7			9.62582159624413		216.19		22.46	0.00169															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.5		6.5		0.7			11.0384615384615		226.96		20.56	0.002															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.57		7.62		0.7			8.96741032370954		216.16		24.1	0.0021															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			54.88		7.44		0.7			8.60573476702509		202.55		23.54	0.00215															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.45		7.31		0.7			9.32854537163703		215.7		23.11	0.00219															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.5		6.64		0.7			10.8057228915663		226.98		21	0.00226															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			59.83		6.99		0.7			9.98593228421555		220.78		22.1	0.00229															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.52		7.41		0.7			9.21367521367522		215.96		23.43	0.0027															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.09		7.35		0.7			9.22063492063492		214.37		23.26	0.00272															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.73		6.5		0.7			11.0797435897436		227.82		20.56	0.00277															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.51		6.48		0.7			11.0743312757202		227		20.48	0.00278															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			59.72		7.07		0.7			9.85478547854786		220.39		22.36	0.00283															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.59		6.57		0.7			10.9368340943683		227.3		20.8	0.00289															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.72		6.55		0.7			10.9933842239186		227.79		20.72	0.0029															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.54		6.69		0.7			10.7319382162431		227.11		21.16	0.00299															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			59.8		7.19		0.7			9.70329160871581		220.7		22.74	0.00306															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.25		7.44		0.7			9.13418458781362		214.98		23.55	0.00309															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.53		7.35		0.7			9.29047619047619		216		23.26	0.0034															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			61.49		6.5		0.7			11.0366666666667		226.91		20.55	0.00431															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	hyperboreus	Invert	H			58.29		7.45		0.7			9.12818791946309		215.11		23.56	0.00537															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.00062															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000761															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000785															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000792															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000797															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.94		12.28		0.7			3.98452768729642		155.92		39.15	0.000806															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.98		12.24		0.69			4.00136165577342		158.23		39.54	0.000817															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000823															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.00083															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000832															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.99		12.32		0.69			3.97632575757576		156.34		39.32	0.000836															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000848															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.97		12.31		0.69			3.97766043866775		156.75		39.41	0.000853															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.00086															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000862															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.98		12.23		0.69			4.00463341509948		156.72		39.12	0.000867															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.98		12.23		0.69			4.00463341509948		156.72		39.12	0.000867															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			42.63		13.03		1.05			3.81696085955487		104.88		27.48	0.000868															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			41.92		12.32		0.69			3.96969696969697		157.12		39.57	0.000885															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.66		12.48		0.74			4.08146367521368		151.9		37.2	0.00101															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.59		12.52		0.74			4.06190095846645		152.62		37.58	0.00103															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.65		12.5		0.74			4.074		152.32		37.38	0.00104															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.65		12.5		0.74			4.074		152.32		37.38	0.00104															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.62		12.48		0.74			4.07772435897436		151.69		37.19	0.00105															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.62		12.48		0.74			4.07772435897436		151.69		37.19	0.00105															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.68		12.45		0.74			4.09317269076305		153.34		37.47	0.00106															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calanus	propinquus	Invert	O			43.68		12.45		0.74			4.09317269076305		153.34		37.47	0.00106															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Calycopsis	borchgrevinki	Invert	C			9.49		2.46		0.25			4.50067750677507		98.06		21.79	0.135966	0.024056644196562														Marine			Indivivual	Moyenne moi-meme (n= 5)		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Candacia	aethiopica	Invert	O			41.6		9.6		0.79			5.05555555555556		135.98		26.9	0.000103															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cardiopoda	sublaevis	Invert	C			31.4		7.2		0.3			5.08796296296296		270.388888888889		53.14	0.007753333333333	0.005683980412821														Marine			Indivivual	Moyenne moi-meme (n=3 )		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cavolinia	globulosa	Invert	H			19.3		2.8		0.3			8.04166666666667		166.194444444444		20.67	0.016495	0.003047630226914														Marine			Indivivual	Moyenne moi-meme (n=2 )		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cavolinia	longirostris	Invert	H			22.7		3.25		0.3			8.14871794871795		195.472222222222		23.99	0.008714777777778	0.001531619549511														Marine			Indivivual	Moyenne moi-meme (n= 9)		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cavolinia	uncinata	Invert	H			19.3		2.8		0.3			8.04166666666667		166.194444444444		20.67	0.0185															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.78		27.12	9.8E-06															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.55		27.07	1.08E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.36		27.02	1.18E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.69		27.09	1.31E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.74		26.9	1.44E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.12		26.98	1.52E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.06		26.96	1.57E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.25		27.01	1.61E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.53		26.87	1.69E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.13		26.98	1.71E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.71		26.89	1.73E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.48		27.06	1.74E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.36		27.03	1.84E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.17		27	1.85E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.78		26.92	1.87E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.7		10.1		0.79			4.81683168316832		136.07		28.25	1.92E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.46		27.05	1.93E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.08		26.97	1.95E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.71		26.9	1.97E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.67		26.89	2.02E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.7		10.1		0.79			4.81683168316832		136.67		28.37	2.03E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.99		26.95	2.05E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.08		26.98	2.14E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.08		26.98	2.14E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.75		26.91	2.16E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.04		26.97	2.19E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.88		26.93	2.2E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.84		26.93	2.25E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.28		27.02	2.27E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.28		27.02	2.27E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.13		26.98	2.28E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.96		26.95	2.29E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.81		26.92	2.3E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.24		27.01	2.32E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.05		26.97	2.38E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.24		27.01	2.51E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.3		27.01	2.6E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.26		27.01	2.65E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.8		26.91	2.78E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.06		26.97	2.95E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.22		27	3.08E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.09		26.98	3.09E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.98		26.95	3.29E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		135.96		26.95	3.34E-05															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Centropages	furcatus	Invert	O			41.6		9.62		0.79			5.04504504504505		136.01		26.96	0.0001625															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792						Chranchiidae 			Invert	C			33.68		11.6		0.93			3.38735632183908		93.5555555555556		27.62	0.099495	0.030016682861369														Marine			Indivivual	Moyenne moi-meme (n= 2)		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cleodora	sulcata	Invert	H			35.61		8.26		0.48			5.02966101694915		192.02		38.18	0.02651															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cleodora	sulcata	Invert	H			37.48		8.74		0.54			5.00305110602594		179.06		35.79	0.027															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cleodora	sulcata	Invert	H			37.47		8.73		0.54			5.00744558991982		179.43		35.85	0.07489															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Cleodora	sulcata	Invert	H			36.7		8.27		0.48			5.17734784361145		197.46		38.13	0.0906															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	antarctica	Invert	C			37.23		8.28		0.41			5.2457729468599		234.22		44.65	0.01461															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	antarctica	Invert	C			42.73		7.07		0.1			7.05115511551155		1085		153.89	0.01966															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	antarctica	Invert	C			37.24		8.29		0.41			5.24085243264978		234.59		44.73	0.02414															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	antarctica	Invert	C			37.28		8.26		0.41			5.26553672316384		234.19		44.49	0.02602															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	antarctica	Invert	C			37.26		8.28		0.41			5.25		235.49		44.83	0.0296															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	antarctica	Invert	C			42.7		7.07		0.1			7.04620462046205		1104.04		156.75	0.03803															Marine			Indivivual	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	limacina	Invert	C			23.49		4.72		0.31			5.80614406779661		198.27		34.15	0.00911															Marine			Species mean same study	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	limacina	Invert	C			23.49		4.68		0.31			5.85576923076923		198.24		33.85	0.0109															Marine			Species mean same study	Etude meme		JS	Field			molar";
"Ikeda database	Vanni_2017	10.1002/ecy.1792							Clione	limacina	Invert	C			23.17		4.75		0.31			5.69087719298246		195.55		34.33	0.01433															Marine			Species mean same study	Etude meme		JS	Field			molar";
